id,user_id,sum,full_buy_sum,cashback_percent,company_revenue_sum,traffic_source_id,created_at,status,_id,external_id,__v,adv_id,approved_percent,createdAt,engine_data,max_cashback_percent,max_cashback_stable_sum,min_cashback_percent,min_cashback_stable_sum,payment_delay,position_sort,site_logo,site_name,site_url,status,updatedAt,categoriesArray,countryArray,showOnSite,ngay,thang,nam,gio,phut, giay, ngayTienVe
234747423,1387920,0.62,9.82,11.51,0.51,33,21/6/2021 11:53,WAIT,5ecc46d2bec3d3d9f9c2c4c4,33,0,20494,79,2020-05-25T22:29:38.000Z,[object Object],15.38,,7.69,,66,9250,https://ai.marketing/service/fs/partners/Jamalon.jpg,Jamalon,jamalon.com,TRUE,2020-05-25T22:29:38.000Z,62++70,0,TRUE,21,6,2021,11,53,34,26/8/2021
234747432,1387920,0.76,26.69,5.17,0.62,1,21/6/2021 11:52,WAIT,5ecc46a14a19c3d97f478700,1,0,6115,95,2020-05-25T22:28:49.000Z,[object Object],6.9,,2.3,,41,1784,https://ai.marketing/service/fs/partners/Aliexpress.jpg,Aliexpress,aliexpress.com,TRUE,2020-05-25T22:28:49.000Z,62++64++65++66++67++69++71++72++85++89++92++96++100++102,AD++AE++AF++AG++AI++AL++AM++AO++AQ++AR++AS++AT++AU++AW++AX++AZ++BA++BB++BD++BE++BF++BG++BH++BI++BJ++BM++BN++BO++BR++BS++BT++BV++BW++BY++BZ++CA++CC++CD++CF++CG++CH++CI++CK++CL++CM++CN++CO++CR++CU++CV++CW++CX++CY++CZ++DE++DJ++DK++DM++DO++DZ++EC++EE++EG++EH++ER++ES++ET++FI++FJ++FK++FM++FO++FR++GA++GB++GD++GE++GF++GG++GH++GI++GL++GM++GN++GP++GQ++GR++GS++GT++GU++GW++GY++HK++HM++HN++HR++HT++HU++ID++IE++IL++IM++IO++IQ++IR++IS++IT++JE++JM++JO++JP++KE++KG++KH++KI++KM++KN++KP++KR++KW++KY++KZ++LA++LB++LC++LI++LK++LR++LS++LT++LU++LV++LY++MA++MC++MD++ME++MG++MH++MK++ML++MM++MN++MO++MP++MQ++MR++MS++MT++MU++MV++MW++MX++MY++MZ++NA++NC++NE++NF++NG++NI++NL++NO++NP++NR++NU++NZ++OM++PA++PE++PF++PG++PH++PK++PL++PM++PN++PR++PS++PT++PW++PY++QA++RE++RO++RS++RU++RW++SA++SB++SC++SD++SE++SG++SH++SI++SJ++SK++SL++SM++SN++SO++SR++ST++SV++SY++SZ++TC++TD++TF++TG++TH++TJ++TK++TL++TM++TN++TO++TT++TV++TW++TZ++UA++UG++UM++US++UY++UZ++VA++VC++VE++VG++VI++VN++VU++WF++WS++YE++YT++ZA++ZM++ZW,TRUE,21,6,2021,11,52,30,1/8/2021
234747444,1387920,1.65,81.97,3.66,1.35,21,21/6/2021 11:44,WAIT,5ecc46bdbec3d3d9f9c2c490,21,0,19350,89,2020-05-25T22:29:17.000Z,[object Object],7.69,,1.53,,57,3630,https://ai.marketing/service/fs/partners/Massdrop.jpg,Massdrop,drop.com,TRUE,2020-05-25T22:29:17.000Z,62++65++85++89,0,TRUE,21,6,2021,11,44,54,17/8/2021
234747443,1387920,0.4,19.21,3.8,0.33,32,21/6/2021 11:24,WAIT,5ecc46d0bec3d3d9f9c2c4c1,32,0,18071,87,2020-05-25T22:29:36.000Z,[object Object],3.8,,3.8,,32,7250,https://ai.marketing/service/fs/partners/Teknistore.png,Teknistore,teknistore.com,TRUE,2020-05-25T22:29:36.000Z,62++65++96,0,TRUE,21,6,2021,11,24,1,23/7/2021
234747419,1387920,1.52,27.6,10,1.24,25,21/6/2021 11:11,WAIT,5ecc46c1bec3d3d9f9c2c4a2,25,0,15352,94,2020-05-25T22:29:21.000Z,[object Object],10,,10,,35,1500,https://ai.marketing/service/fs/partners/Tidebuy.png,Tidebuy,tidebuy.com,TRUE,2020-05-25T22:29:21.000Z,62++64++65++96,0,TRUE,21,6,2021,11,11,54,26/7/2021
234747421,1387920,0.84,20.4,7.5,0.69,69,21/6/2021 10:03,WAIT,5ecc46fdbec3d3d9f9c2c523,69,0,22448,99,2020-05-25T22:30:21.000Z,[object Object],7.5,,7.5,,35,6581,https://ai.marketing/service/fs/partners/udemy.jpg,Udemy,udemy.com,TRUE,2020-05-25T22:30:21.000Z,18++93++98++99,0,TRUE,21,6,2021,10,3,15,26/7/2021
234747427,1387920,0.27,12.89,3.8,0.22,32,21/6/2021 9:55,WAIT,5ecc46d0bec3d3d9f9c2c4c1,32,0,18071,87,2020-05-25T22:29:36.000Z,[object Object],3.8,,3.8,,32,7250,https://ai.marketing/service/fs/partners/Teknistore.png,Teknistore,teknistore.com,TRUE,2020-05-25T22:29:36.000Z,62++65++96,0,TRUE,21,6,2021,9,55,11,23/7/2021
234747418,1387920,2.61,47.5,10,2.14,25,21/6/2021 9:51,WAIT,5ecc46c1bec3d3d9f9c2c4a2,25,0,15352,94,2020-05-25T22:29:21.000Z,[object Object],10,,10,,35,1500,https://ai.marketing/service/fs/partners/Tidebuy.png,Tidebuy,tidebuy.com,TRUE,2020-05-25T22:29:21.000Z,62++64++65++96,0,TRUE,21,6,2021,9,51,7,26/7/2021
234747416,1387920,0.02,0.8,5,0.02,49,21/6/2021 9:37,WAIT,5ecc46e9bec3d3d9f9c2c4ee,49,0,18529,99,2020-05-25T22:30:01.000Z,[object Object],10,,4,,24,5001,https://ai.marketing/service/fs/partners/fairyseason.jpeg,Fairyseason,Fairyseason.com,TRUE,2020-05-25T22:30:01.000Z,62++65++66,0,FALSE,21,6,2021,9,37,42,15/7/2021
234747388,1387920,0.61,14.8,7.5,0.5,69,20/6/2021 23:32,WAIT,5ecc46fdbec3d3d9f9c2c523,69,0,22448,99,2020-05-25T22:30:21.000Z,[object Object],7.5,,7.5,,35,6581,https://ai.marketing/service/fs/partners/udemy.jpg,Udemy,udemy.com,TRUE,2020-05-25T22:30:21.000Z,18++93++98++99,0,TRUE,20,6,2021,23,32,33,25/7/2021
234747383,1387920,4.96,90.2,10,4.06,53,20/6/2021 23:25,WAIT,5ecc46ebbec3d3d9f9c2c4f6,53,0,15735,88,2020-05-25T22:30:03.000Z,[object Object],10,,10,,19,2800,https://ai.marketing/service/fs/partners/kikocosmetics.jpg,Kikocosmetics,kikocosmetics.com,TRUE,2020-05-25T22:30:03.000Z,62++67,RU,TRUE,20,6,2021,23,25,10,9/7/2021
234747405,1387920,1.73,21,15,1.42,11,20/6/2021 23:21,WAIT,5ecc46b04a19c3d97f47875a,11,0,19676,87,2020-05-25T22:29:04.000Z,[object Object],15,,15,,47,3784,https://ai.marketing/service/fs/partners/Forest_Essentials.jpg,Forest Essentials,forestessentialsindia.com,TRUE,2020-05-25T22:29:04.000Z,TRUE,,,20,6,2021,23,21,22,6/8/2021
234747385,1387920,5.16,134,7,4.22,44,20/6/2021 22:33,WAIT,5ecc46e5bec3d3d9f9c2c4d9,44,0,4965,78,2020-05-25T22:29:57.000Z,[object Object],7,,7,,39,5051,https://ai.marketing/service/fs/partners/ASOS.jpg,ASOS,asos.com,TRUE,2020-05-25T22:29:57.000Z,62++64++71,RU,TRUE,20,6,2021,22,33,16,29/7/2021
234747400,1387920,2,47.33,7.69,1.64,63,20/6/2021 21:59,WAIT,5ecc46f6bec3d3d9f9c2c512,63,0,21029,80,2020-05-25T22:30:14.000Z,[object Object],7.69,,7.69,,44.5,6215,https://ai.marketing/service/fs/partners/ancestry.png,Ancestry,ancestry.com,TRUE,2020-05-25T22:30:14.000Z,18++93,AU++CA++GB++US,TRUE,20,6,2021,21,59,33,3/8/2021
234747386,1387920,0.67,12.2,10,0.55,43,20/6/2021 21:48,WAIT,5ecc46e3bec3d3d9f9c2c4d4,43,0,15008,92,2020-05-25T22:29:55.000Z,[object Object],10,,10,,34,5001,https://ai.marketing/service/fs/partners/Cesdeals.jpg,Cesdeals,cesdeals.com,TRUE,2020-05-25T22:29:55.000Z,62++64++66++71++96,AD++AE++AF++AG++AI++AL++AM++AO++AQ++AR++AS++AT++AU++AW++AX++AZ++BA++BB++BD++BE++BF++BG++BH++BI++BJ++BL++BM++BN++BO++BQ++BR++BS++BT++BV++BW++BY++BZ++CA++CC++CD++CF++CG++CH++CI++CK++CL++CM++CO++CR++CU++CV++CW++CX++CY++CZ++DE++DJ++DK++DM++DO++DZ++EC++EE++EG++EH++ER++ES++ET++FI++FJ++FK++FM++FO++FR++GA++GB++GD++GE++GF++GG++GH++GI++GL++GM++GN++GP++GQ++GR++GS++GT++GU++GW++GY++HK++HM++HN++HR++HT++HU++ID++IE++IL++IM++IN++IO++IQ++IR++IS++IT++JE++JM++JO++JP++KE++KG++KH++KI++KM++KN++KP++KR++KW++KY++KZ++LA++LB++LC++LI++LK++LR++LS++LT++LU++LV++LY++MA++MC++MD++ME++MF++MG++MH++MK++ML++MM++MN++MO++MP++MQ++MR++MS++MT++MU++MV++MW++MX++MY++MZ++NA++NC++NE++NF++NG++NI++NL++NO++NP++NR++NU++NZ++OM++PA++PE++PF++PG++PH++PK++PL++PM++PN++PR++PS++PT++PW++PY++QA++RE++RO++RS++RU++RW++SA++SB++SC++SD++SE++SG++SH++SI++SJ++SK++SL++SM++SN++SO++SR++SS++ST++SV++SX++SY++SZ++TC++TD++TF++TG++TH++TJ++TK++TL++TM++TN++TO++TR++TT++TV++TW++TZ++UA++UG++UM++US++UY++UZ++VA++VC++VE++VG++VI++VN++VU++WF++WS++YE++YT++ZA++ZM++ZW,TRUE,20,6,2021,21,48,0,24/7/2021
234747391,1387920,2.08,27,14,1.7,36,20/6/2021 21:44,WAIT,5ecc46d54a19c3d97f478779,36,0,19710,98,2020-05-25T22:29:41.000Z,[object Object],15,,10,,39,2250,https://ai.marketing/service/fs/partners/Whatwears.jpg,Whatwears,whatwears.com,TRUE,2020-05-25T22:29:41.000Z,62++64++96,0,TRUE,20,6,2021,21,44,16,29/7/2021
